"filename", "language", "Dart", "CSS", "YAML", "JSON with Comments", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\Daniel\AndroidStudioProjects\perrow_api\lib\src\services\location_services.dart", "Dart", 13, 0, 0, 0, 0, 0, 1, 4, 18
"c:\Users\Daniel\AndroidStudioProjects\perrow_api\lib\src\services\notification_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 202, 23, 225
"c:\Users\Daniel\AndroidStudioProjects\perrow_api\lib\src\services\user_actvity_service.dart", "Dart", 54, 0, 0, 0, 0, 0, 15, 7, 76
"c:\Users\Daniel\AndroidStudioProjects\perrow_api\lib\src\services\wallet_services.dart", "Dart", 442, 0, 0, 0, 0, 0, 31, 39, 512
"c:\Users\Daniel\AndroidStudioProjects\perrow_api\lib\src\utils.dart", "Dart", 97, 0, 0, 0, 0, 0, 45, 17, 159
"c:\Users\Daniel\AndroidStudioProjects\perrow_api\lib\src\validators\account_responses.dart", "Dart", 19, 0, 0, 0, 0, 0, 2, 3, 24
"c:\Users\Daniel\AndroidStudioProjects\perrow_api\lib\src\validators\account_validation.dart", "Dart", 19, 0, 0, 0, 0, 0, 4, 5, 28
"c:\Users\Daniel\AndroidStudioProjects\perrow_api\lib\src\validators\auth_responses.dart", "Dart", 2, 0, 0, 0, 0, 0, 17, 2, 21
"c:\Users\Daniel\AndroidStudioProjects\perrow_api\lib\src\validators\auth_validation.dart", "Dart", 20, 0, 0, 0, 0, 0, 7, 7, 34
"c:\Users\Daniel\AndroidStudioProjects\perrow_api\lib\src\validators\blockchain_responses.dart", "Dart", 2, 0, 0, 0, 0, 0, 18, 3, 23
"c:\Users\Daniel\AndroidStudioProjects\perrow_api\lib\src\validators\blockchain_validation.dart", "Dart", 15, 0, 0, 0, 0, 0, 5, 4, 24
"c:\Users\Daniel\AndroidStudioProjects\perrow_api\lib\src\validators\enum_values.dart", "Dart", 11, 0, 0, 0, 0, 0, 7, 2, 20
"c:\Users\Daniel\AndroidStudioProjects\perrow_api\lib\src\validators\validation\auth_validation_service.dart", "Dart", 118, 0, 0, 0, 0, 0, 6, 15, 139
"c:\Users\Daniel\AndroidStudioProjects\perrow_api\lib\src\validators\validation\blockchain_validation_service.dart", "Dart", 66, 0, 0, 0, 0, 0, 0, 15, 81
"c:\Users\Daniel\AndroidStudioProjects\perrow_api\pubspec.yaml", "YAML", 0, 0, 42, 0, 0, 0, 0, 4, 46
"c:\Users\Daniel\AndroidStudioProjects\perrow_api\web\index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 5, 21
"c:\Users\Daniel\AndroidStudioProjects\perrow_api\web\styles.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 3, 15
"Total", "-", 2366, 12, 46, 18, 16, 6, 663, 537, 3664
